loan_id,origination_month,original_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type
LN000595,2022-04-01,379698.22,3.243,650-699,60-70%,40-50%,NY,Purchase,Owner-Occupied,Single-Family
LN000596,2022-01-01,363615.55,5.718,700-749,80-90%,30-40%,GA,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN000597,2024-08-01,137646.66,2.676,600-649,70-80%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN000598,2024-10-01,311929.67,4.063,650-699,70-80%,<30%,NY,Refinance-Cashout,Owner-Occupied,Condo
LN000599,2024-04-01,293304.01,6.769,700-749,70-80%,30-40%,GA,Purchase,Owner-Occupied,Multi-Unit
LN000600,2024-07-01,329074.11,4.031,600-649,70-80%,30-40%,FL,Purchase,Owner-Occupied,Single-Family
LN000601,2022-08-01,263931.25,3.185,<600,80-90%,<30%,TX,Purchase,Owner-Occupied,Single-Family
LN000602,2024-02-01,466207.67,6.001,750-799,70-80%,40-50%,NY,Purchase,Owner-Occupied,Single-Family
LN000603,2024-10-01,305277.55,8.11,<600,70-80%,30-40%,CA,Purchase,Owner-Occupied,Single-Family
LN000604,2022-03-01,315022.34,3.787,600-649,>95%,<30%,CA,Refinance-Cashout,Second Home,Single-Family
LN000605,2022-12-01,103755.98,6.836,750-799,90-95%,<30%,IL,Purchase,Owner-Occupied,Single-Family
LN000606,2022-01-01,289332.43,3.6,650-699,>95%,<30%,CA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000607,2022-05-01,414925.94,4.831,750-799,90-95%,30-40%,NY,Purchase,Investment,Single-Family
LN000608,2024-06-01,355557.56,4.896,600-649,70-80%,30-40%,GA,Refinance-Cashout,Owner-Occupied,Single-Family
LN000609,2024-06-01,84440.91,3.827,650-699,70-80%,40-50%,GA,Purchase,Owner-Occupied,Condo
LN000610,2023-05-01,255032.49,6.313,700-749,60-70%,>50%,TX,Refinance-Cashout,Investment,Condo
LN000611,2023-11-01,473189.95,2.69,800+,>95%,40-50%,FL,Purchase,Owner-Occupied,Single-Family
LN000612,2023-03-01,284935.93,5.293,600-649,60-70%,30-40%,FL,Purchase,Owner-Occupied,Condo
LN000613,2023-09-01,332241.6,6.611,700-749,70-80%,30-40%,CA,Purchase,Investment,Single-Family
LN000614,2023-02-01,461900.93,6.188,<600,60-70%,>50%,FL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000615,2022-02-01,284538.59,5.737,650-699,60-70%,40-50%,GA,Refinance-Rate-Term,Owner-Occupied,Condo
LN000616,2022-11-01,379102.99,7.378,800+,60-70%,30-40%,PA,Refinance-Rate-Term,Second Home,Single-Family
LN000617,2024-10-01,341139.59,4.671,600-649,70-80%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN000618,2024-10-01,362514.89,2.713,750-799,<60%,30-40%,MI,Purchase,Owner-Occupied,Single-Family
LN000619,2023-06-01,337921.57,5.203,650-699,70-80%,40-50%,NC,Refinance-Cashout,Owner-Occupied,Condo
LN000620,2024-06-01,245237.01,4.811,750-799,80-90%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000621,2023-03-01,255220.24,2.5,700-749,80-90%,<30%,PA,Purchase,Owner-Occupied,Condo
LN000622,2024-03-01,214542.38,3.312,750-799,60-70%,<30%,IL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000623,2024-10-01,136029.09,3.121,650-699,90-95%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN000624,2024-09-01,424452.99,3.778,750-799,80-90%,30-40%,MI,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000625,2023-12-01,301008.3,4.473,750-799,<60%,30-40%,NC,Purchase,Owner-Occupied,Single-Family
LN000626,2023-03-01,419416.02,4.531,700-749,80-90%,40-50%,MI,Refinance-Cashout,Owner-Occupied,Single-Family
LN000627,2024-06-01,456537.27,3.832,750-799,80-90%,30-40%,PA,Refinance-Cashout,Second Home,Single-Family
LN000628,2023-05-01,305341.75,3.119,700-749,70-80%,40-50%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000629,2022-05-01,168651.09,5.566,750-799,<60%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN000630,2024-05-01,280381.19,5.175,700-749,70-80%,40-50%,NY,Purchase,Investment,Single-Family
LN000631,2022-04-01,232885.64,5.22,700-749,80-90%,40-50%,PA,Refinance-Cashout,Owner-Occupied,Condo
LN000632,2022-10-01,101984.95,7.669,750-799,70-80%,30-40%,CA,Purchase,Owner-Occupied,Condo
LN000633,2023-05-01,249827.11,5.244,650-699,80-90%,40-50%,NC,Refinance-Rate-Term,Owner-Occupied,Condo
LN000634,2022-10-01,292846.28,4.45,700-749,70-80%,30-40%,TX,Purchase,Owner-Occupied,Condo
LN000635,2023-05-01,235667.56,4.841,800+,70-80%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN000636,2023-08-01,222845.49,5.148,700-749,70-80%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN000637,2023-12-01,172246.42,5.924,650-699,70-80%,30-40%,NY,Purchase,Owner-Occupied,Multi-Unit
LN000638,2022-05-01,319592.21,4.933,700-749,90-95%,40-50%,FL,Refinance-Rate-Term,Owner-Occupied,Condo
LN000639,2024-10-01,486926.93,2.5,750-799,80-90%,30-40%,IL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000640,2022-06-01,427862.39,4.345,800+,70-80%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000641,2022-02-01,365362.69,5.002,800+,70-80%,>50%,MI,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000642,2023-01-01,367540.91,6.956,750-799,80-90%,30-40%,TX,Refinance-Cashout,Owner-Occupied,Single-Family
LN000643,2022-11-01,286735.69,3.821,700-749,80-90%,<30%,PA,Refinance-Rate-Term,Second Home,Single-Family
LN000644,2023-11-01,119548.68,2.547,650-699,80-90%,<30%,NY,Purchase,Owner-Occupied,Condo
LN000645,2023-04-01,263056.83,5.097,600-649,70-80%,<30%,TX,Purchase,Owner-Occupied,Single-Family
LN000646,2024-07-01,203072.23,6.299,600-649,>95%,<30%,CA,Refinance-Cashout,Owner-Occupied,Single-Family
LN000647,2022-11-01,315469.67,4.41,<600,80-90%,40-50%,GA,Purchase,Owner-Occupied,Single-Family
LN000648,2023-04-01,423321.47,8.575,750-799,60-70%,30-40%,IL,Refinance-Cashout,Owner-Occupied,Condo
LN000649,2022-08-01,497340.96,8.221,750-799,70-80%,40-50%,MI,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000650,2022-04-01,306462.1,4.891,700-749,70-80%,<30%,TX,Refinance-Cashout,Owner-Occupied,Single-Family
LN000651,2022-04-01,133284.37,5.28,800+,80-90%,30-40%,GA,Refinance-Cashout,Owner-Occupied,Single-Family
LN000652,2024-01-01,306267.61,7.053,800+,<60%,30-40%,FL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000653,2022-03-01,308985.62,4.865,750-799,70-80%,30-40%,OH,Purchase,Second Home,Single-Family
LN000654,2024-08-01,367884.39,3.794,700-749,70-80%,<30%,TX,Purchase,Owner-Occupied,Condo
LN000655,2022-03-01,298080.44,6.333,650-699,60-70%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000656,2024-03-01,306651.83,5.697,700-749,70-80%,40-50%,NY,Purchase,Owner-Occupied,Single-Family
LN000657,2024-05-01,236793.92,3.789,650-699,80-90%,<30%,MI,Purchase,Owner-Occupied,Single-Family
LN000658,2024-08-01,268809.8,5.419,700-749,70-80%,40-50%,CA,Purchase,Owner-Occupied,Single-Family
LN000659,2023-07-01,351323.24,4.76,800+,70-80%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN000660,2023-09-01,99151.63,4.422,650-699,70-80%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN000661,2022-05-01,268271.14,3.821,650-699,70-80%,40-50%,GA,Refinance-Cashout,Owner-Occupied,Single-Family
LN000662,2023-06-01,368790.0,5.182,700-749,70-80%,>50%,CA,Refinance-Rate-Term,Owner-Occupied,Condo
LN000663,2024-04-01,464072.89,4.601,700-749,60-70%,40-50%,TX,Refinance-Cashout,Owner-Occupied,Single-Family
LN000664,2023-10-01,260166.36,5.427,650-699,60-70%,<30%,IL,Purchase,Owner-Occupied,Condo
LN000665,2023-09-01,418536.98,6.23,650-699,80-90%,>50%,MI,Purchase,Owner-Occupied,Single-Family
LN000666,2022-06-01,469002.38,5.347,800+,70-80%,40-50%,MI,Purchase,Second Home,Condo
LN000667,2022-01-01,261461.76,5.373,650-699,80-90%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN000668,2022-05-01,244179.15,4.188,750-799,70-80%,>50%,CA,Purchase,Owner-Occupied,Single-Family
LN000669,2022-12-01,281792.55,6.762,700-749,<60%,40-50%,PA,Purchase,Second Home,Condo
LN000670,2024-02-01,291804.82,3.727,700-749,80-90%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN000671,2024-10-01,409082.27,2.582,650-699,<60%,40-50%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000672,2023-02-01,222627.48,3.394,750-799,90-95%,30-40%,IL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000673,2024-02-01,453806.54,6.551,750-799,60-70%,40-50%,FL,Purchase,Owner-Occupied,Single-Family
LN000674,2024-03-01,219924.24,5.688,650-699,70-80%,<30%,MI,Purchase,Owner-Occupied,Single-Family
LN000675,2022-09-01,173557.51,6.968,600-649,<60%,>50%,PA,Purchase,Owner-Occupied,Single-Family
LN000676,2024-02-01,352377.72,3.015,600-649,90-95%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN000677,2023-10-01,423056.04,8.48,750-799,>95%,40-50%,PA,Refinance-Cashout,Second Home,Single-Family
LN000678,2024-06-01,317865.55,4.574,700-749,60-70%,30-40%,IL,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN000679,2023-05-01,343508.44,2.5,600-649,70-80%,40-50%,TX,Purchase,Owner-Occupied,Multi-Unit
LN000680,2024-02-01,495429.72,8.294,650-699,<60%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN000681,2024-12-01,424465.28,3.035,700-749,80-90%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN000682,2022-01-01,303092.54,4.403,750-799,70-80%,40-50%,IL,Purchase,Owner-Occupied,Single-Family
LN000683,2022-08-01,256885.31,4.691,700-749,70-80%,<30%,FL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000684,2024-11-01,409505.89,5.666,650-699,<60%,30-40%,PA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000685,2023-03-01,382928.39,3.813,650-699,80-90%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN000686,2023-10-01,341857.67,6.559,700-749,70-80%,30-40%,TX,Purchase,Second Home,Condo
LN000687,2023-02-01,267298.63,6.13,600-649,80-90%,30-40%,MI,Refinance-Rate-Term,Second Home,Single-Family
LN000688,2024-02-01,292361.04,5.029,750-799,80-90%,30-40%,GA,Purchase,Owner-Occupied,Single-Family
LN000689,2024-04-01,285248.04,6.986,700-749,<60%,30-40%,PA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000690,2023-11-01,268963.12,4.898,650-699,70-80%,40-50%,NC,Purchase,Owner-Occupied,Single-Family
LN000691,2023-02-01,239885.19,4.587,700-749,70-80%,>50%,FL,Purchase,Investment,Single-Family
LN000692,2023-12-01,326519.86,7.997,750-799,70-80%,40-50%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000693,2022-02-01,235368.47,5.444,700-749,60-70%,<30%,GA,Purchase,Owner-Occupied,Single-Family
LN000694,2024-02-01,317737.92,3.522,750-799,80-90%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000695,2023-02-01,90012.68,3.725,700-749,>95%,30-40%,GA,Purchase,Owner-Occupied,Single-Family
LN000696,2022-07-01,240012.58,5.028,750-799,>95%,40-50%,NC,Purchase,Second Home,Multi-Unit
LN000697,2022-03-01,409832.92,2.5,750-799,80-90%,30-40%,GA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000698,2023-11-01,209957.08,4.051,650-699,70-80%,<30%,GA,Purchase,Owner-Occupied,Single-Family
LN000699,2023-06-01,359210.2,4.849,600-649,70-80%,40-50%,PA,Refinance-Rate-Term,Owner-Occupied,Condo
LN000700,2024-11-01,218271.62,4.749,800+,<60%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN000701,2023-03-01,377578.57,3.114,800+,70-80%,40-50%,OH,Purchase,Owner-Occupied,Multi-Unit
LN000702,2024-01-01,270289.11,4.327,750-799,60-70%,40-50%,NY,Refinance-Rate-Term,Second Home,Single-Family
LN000703,2024-04-01,266335.34,6.77,750-799,70-80%,30-40%,FL,Refinance-Rate-Term,Second Home,Single-Family
LN000704,2022-10-01,305435.15,6.46,650-699,90-95%,40-50%,NY,Purchase,Investment,Condo
LN000705,2023-05-01,165657.3,5.143,700-749,>95%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN000706,2023-10-01,397209.08,4.897,800+,90-95%,<30%,FL,Purchase,Owner-Occupied,Condo
LN000707,2024-02-01,430343.34,4.758,750-799,60-70%,30-40%,NC,Refinance-Cashout,Owner-Occupied,Condo
LN000708,2024-01-01,263996.85,5.354,650-699,90-95%,30-40%,FL,Purchase,Owner-Occupied,Single-Family
LN000709,2023-05-01,352420.42,5.154,650-699,60-70%,<30%,TX,Purchase,Owner-Occupied,Single-Family
LN000710,2023-01-01,377891.07,5.486,700-749,70-80%,30-40%,CA,Purchase,Owner-Occupied,Single-Family
LN000711,2023-08-01,290874.24,5.753,700-749,70-80%,30-40%,CA,Purchase,Investment,Single-Family
LN000712,2024-01-01,189175.28,3.183,700-749,70-80%,<30%,IL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000713,2022-04-01,459408.21,4.535,700-749,>95%,40-50%,IL,Purchase,Owner-Occupied,Single-Family
LN000714,2022-10-01,260747.83,5.297,<600,70-80%,<30%,NC,Purchase,Owner-Occupied,Single-Family
LN000715,2022-03-01,239086.52,3.551,750-799,70-80%,30-40%,NY,Purchase,Second Home,Condo
LN000716,2023-06-01,463879.19,3.989,750-799,<60%,30-40%,IL,Purchase,Second Home,Condo
LN000717,2024-12-01,361005.88,4.673,750-799,90-95%,<30%,PA,Purchase,Owner-Occupied,Single-Family
LN000718,2023-10-01,325743.01,4.747,750-799,70-80%,>50%,MI,Purchase,Owner-Occupied,Single-Family
LN000719,2024-10-01,202923.93,5.325,700-749,80-90%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000720,2022-08-01,380280.41,3.728,750-799,80-90%,40-50%,NC,Refinance-Rate-Term,Owner-Occupied,Condo
LN000721,2023-07-01,589651.86,6.452,700-749,80-90%,30-40%,PA,Refinance-Rate-Term,Investment,Single-Family
LN000722,2022-06-01,388050.77,4.734,800+,70-80%,40-50%,CA,Purchase,Owner-Occupied,Multi-Unit
LN000723,2024-02-01,349608.85,5.218,650-699,70-80%,>50%,GA,Purchase,Owner-Occupied,Condo
LN000724,2024-10-01,372109.28,4.445,800+,70-80%,30-40%,TX,Purchase,Owner-Occupied,Condo
LN000725,2022-06-01,267188.47,5.353,650-699,>95%,30-40%,NC,Purchase,Owner-Occupied,Single-Family
LN000726,2024-09-01,266234.93,7.507,600-649,80-90%,30-40%,OH,Refinance-Cashout,Owner-Occupied,Single-Family
LN000727,2023-10-01,264955.45,4.431,700-749,60-70%,>50%,OH,Refinance-Cashout,Second Home,Multi-Unit
LN000728,2023-09-01,242505.0,4.183,700-749,<60%,30-40%,MI,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000729,2022-06-01,264755.51,3.755,650-699,70-80%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN000730,2022-06-01,264289.28,4.911,700-749,80-90%,<30%,IL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000731,2022-04-01,275531.55,4.893,750-799,70-80%,>50%,GA,Purchase,Second Home,Single-Family
LN000732,2024-06-01,272732.2,5.077,650-699,80-90%,30-40%,MI,Refinance-Rate-Term,Owner-Occupied,Condo
LN000733,2022-11-01,324301.19,5.702,700-749,90-95%,40-50%,CA,Purchase,Owner-Occupied,Single-Family
LN000734,2024-06-01,307879.3,5.513,650-699,70-80%,40-50%,FL,Purchase,Owner-Occupied,Condo
LN000735,2024-07-01,316736.25,4.966,700-749,60-70%,30-40%,NC,Purchase,Owner-Occupied,Single-Family
LN000736,2023-12-01,452229.76,7.931,750-799,90-95%,40-50%,CA,Purchase,Owner-Occupied,Single-Family
LN000737,2022-09-01,307673.42,6.036,700-749,70-80%,40-50%,GA,Refinance-Rate-Term,Owner-Occupied,Condo
LN000738,2022-03-01,521089.1,3.366,800+,70-80%,30-40%,PA,Refinance-Rate-Term,Owner-Occupied,Multi-Unit
LN000739,2024-07-01,335268.95,2.682,700-749,70-80%,30-40%,MI,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN000740,2024-12-01,255274.04,3.957,750-799,70-80%,<30%,IL,Refinance-Cashout,Investment,Condo
LN000741,2023-12-01,434958.32,5.229,750-799,80-90%,30-40%,PA,Purchase,Owner-Occupied,Single-Family
LN000742,2024-07-01,292047.27,3.831,750-799,70-80%,>50%,IL,Purchase,Owner-Occupied,Single-Family
LN000743,2022-06-01,60631.58,4.059,650-699,70-80%,30-40%,NC,Purchase,Owner-Occupied,Single-Family
LN000744,2022-02-01,299599.69,5.039,650-699,80-90%,40-50%,TX,Refinance-Cashout,Owner-Occupied,Single-Family
LN000745,2023-08-01,275082.42,4.487,700-749,60-70%,<30%,MI,Purchase,Owner-Occupied,Single-Family
LN000746,2024-04-01,460654.74,2.5,750-799,60-70%,30-40%,PA,Purchase,Owner-Occupied,Single-Family
LN000747,2022-11-01,210243.33,6.616,650-699,80-90%,<30%,NY,Purchase,Owner-Occupied,Single-Family
LN000748,2022-04-01,266734.52,6.267,800+,90-95%,30-40%,FL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000749,2023-03-01,426763.94,3.072,600-649,60-70%,<30%,IL,Refinance-Cashout,Second Home,Single-Family
LN000750,2022-06-01,339440.85,5.085,650-699,60-70%,40-50%,TX,Purchase,Investment,Single-Family
LN000751,2024-06-01,282854.32,3.325,650-699,80-90%,30-40%,FL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000752,2022-02-01,224351.43,4.087,700-749,70-80%,40-50%,OH,Purchase,Second Home,Single-Family
LN000753,2023-03-01,335174.57,5.729,800+,70-80%,30-40%,CA,Purchase,Owner-Occupied,Single-Family
LN000754,2022-11-01,297069.89,6.215,650-699,<60%,>50%,TX,Refinance-Rate-Term,Owner-Occupied,Condo
LN000755,2022-08-01,223217.07,6.18,700-749,<60%,40-50%,FL,Purchase,Owner-Occupied,Single-Family
LN000756,2024-02-01,228415.35,5.367,650-699,80-90%,<30%,MI,Purchase,Investment,Multi-Unit
LN000757,2022-05-01,218552.79,6.913,700-749,70-80%,30-40%,OH,Refinance-Cashout,Owner-Occupied,Single-Family
LN000758,2022-06-01,200744.44,4.084,600-649,90-95%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000759,2024-02-01,393403.38,4.417,700-749,70-80%,30-40%,GA,Refinance-Cashout,Owner-Occupied,Single-Family
LN000760,2022-04-01,379939.34,2.5,750-799,70-80%,30-40%,GA,Purchase,Owner-Occupied,Condo
LN000761,2023-07-01,393567.45,4.86,700-749,90-95%,>50%,CA,Purchase,Owner-Occupied,Single-Family
LN000762,2023-08-01,300449.95,5.87,600-649,60-70%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN000763,2024-09-01,275737.12,5.428,650-699,70-80%,40-50%,CA,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN000764,2023-08-01,277561.79,4.064,750-799,<60%,30-40%,OH,Purchase,Owner-Occupied,Condo
LN000765,2022-12-01,402110.16,6.267,750-799,70-80%,<30%,NY,Purchase,Owner-Occupied,Single-Family
LN000766,2022-01-01,117985.22,4.889,800+,60-70%,40-50%,GA,Purchase,Owner-Occupied,Condo
LN000767,2024-02-01,248551.39,6.15,750-799,60-70%,30-40%,GA,Refinance-Rate-Term,Owner-Occupied,Condo
LN000768,2023-02-01,211265.44,5.729,800+,90-95%,40-50%,NC,Purchase,Owner-Occupied,Single-Family
LN000769,2022-11-01,435988.75,7.137,700-749,70-80%,<30%,PA,Purchase,Owner-Occupied,Single-Family
LN000770,2024-12-01,252254.25,5.509,650-699,90-95%,40-50%,OH,Purchase,Owner-Occupied,Condo
LN000771,2023-01-01,136401.12,5.915,<600,70-80%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000772,2022-03-01,322342.36,4.885,700-749,70-80%,40-50%,IL,Purchase,Second Home,Single-Family
LN000773,2024-09-01,262988.58,4.246,750-799,<60%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000774,2022-06-01,244307.12,5.736,750-799,70-80%,30-40%,NC,Refinance-Cashout,Owner-Occupied,Single-Family
LN000775,2022-10-01,233996.8,7.254,650-699,70-80%,<30%,NY,Purchase,Investment,Single-Family
LN000776,2022-05-01,230051.52,4.076,700-749,<60%,<30%,TX,Purchase,Owner-Occupied,Condo
LN000777,2023-11-01,370856.03,4.628,750-799,80-90%,30-40%,GA,Purchase,Owner-Occupied,Condo
LN000778,2022-10-01,322378.74,5.04,700-749,70-80%,30-40%,OH,Refinance-Cashout,Investment,Single-Family
LN000779,2022-02-01,280203.42,6.027,650-699,70-80%,40-50%,PA,Purchase,Owner-Occupied,Single-Family
LN000780,2023-01-01,190176.11,5.518,750-799,70-80%,<30%,OH,Refinance-Cashout,Owner-Occupied,Single-Family
LN000781,2022-02-01,283110.67,6.37,650-699,>95%,>50%,FL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000782,2023-08-01,326062.79,7.961,800+,<60%,>50%,PA,Purchase,Owner-Occupied,Single-Family
LN000783,2022-01-01,329865.44,4.042,800+,70-80%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN000784,2022-09-01,316088.44,5.915,700-749,70-80%,>50%,OH,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000785,2023-05-01,207740.73,5.481,700-749,<60%,40-50%,OH,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000786,2022-09-01,59682.34,5.029,750-799,70-80%,30-40%,IL,Refinance-Rate-Term,Investment,Single-Family
LN000787,2022-11-01,479961.88,5.909,700-749,70-80%,40-50%,FL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000788,2023-03-01,169036.31,4.6,<600,60-70%,40-50%,TX,Purchase,Second Home,Multi-Unit
LN000789,2023-12-01,103504.2,5.485,800+,60-70%,<30%,OH,Refinance-Rate-Term,Owner-Occupied,Condo
LN000790,2024-11-01,313051.56,3.042,700-749,80-90%,<30%,NY,Purchase,Owner-Occupied,Single-Family
LN000791,2024-06-01,129148.15,4.192,650-699,60-70%,30-40%,TX,Purchase,Investment,Multi-Unit
LN000792,2024-07-01,219520.13,6.571,700-749,70-80%,<30%,GA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000793,2022-05-01,354885.04,6.514,650-699,60-70%,>50%,TX,Purchase,Owner-Occupied,Single-Family
LN000794,2023-02-01,477268.73,5.389,650-699,60-70%,30-40%,PA,Purchase,Owner-Occupied,Single-Family
LN000795,2022-11-01,338751.18,4.32,700-749,60-70%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN000796,2022-09-01,256084.07,6.238,700-749,70-80%,<30%,NC,Purchase,Owner-Occupied,Condo
LN000797,2024-10-01,294858.04,6.855,700-749,60-70%,30-40%,IL,Refinance-Cashout,Owner-Occupied,Condo
LN000798,2022-12-01,119141.4,4.381,800+,<60%,30-40%,NY,Purchase,Second Home,Single-Family
LN000799,2024-11-01,254924.79,2.817,750-799,80-90%,<30%,GA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000800,2024-11-01,255021.84,5.674,<600,70-80%,>50%,FL,Purchase,Owner-Occupied,Single-Family
LN000801,2022-01-01,315332.87,6.371,600-649,60-70%,30-40%,NC,Purchase,Owner-Occupied,Condo
LN000802,2023-10-01,494218.96,5.881,700-749,70-80%,40-50%,GA,Purchase,Owner-Occupied,Single-Family
LN000803,2024-05-01,106320.47,7.348,700-749,<60%,<30%,GA,Purchase,Investment,Single-Family
LN000804,2022-08-01,259232.24,7.354,750-799,70-80%,>50%,MI,Purchase,Investment,Condo
LN000805,2022-11-01,116649.05,4.542,700-749,70-80%,30-40%,IL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000806,2023-02-01,249663.59,5.298,650-699,60-70%,40-50%,CA,Purchase,Owner-Occupied,Condo
LN000807,2024-06-01,213539.79,4.255,700-749,60-70%,40-50%,MI,Purchase,Second Home,Single-Family
LN000808,2024-11-01,150565.37,3.467,750-799,70-80%,40-50%,NC,Purchase,Owner-Occupied,Single-Family
LN000809,2023-09-01,391309.2,3.555,800+,80-90%,<30%,TX,Purchase,Owner-Occupied,Condo
LN000810,2022-05-01,325564.77,6.076,650-699,60-70%,30-40%,CA,Purchase,Owner-Occupied,Single-Family
LN000811,2023-07-01,379585.56,5.454,700-749,60-70%,30-40%,PA,Refinance-Rate-Term,Second Home,Single-Family
LN000812,2023-02-01,246834.62,6.335,650-699,70-80%,30-40%,CA,Purchase,Owner-Occupied,Multi-Unit
LN000813,2024-02-01,292928.35,8.797,700-749,70-80%,30-40%,MI,Purchase,Owner-Occupied,Single-Family
LN000814,2022-04-01,459464.06,5.75,600-649,<60%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN000815,2024-01-01,299727.98,3.818,800+,70-80%,30-40%,MI,Purchase,Owner-Occupied,Single-Family
LN000816,2024-01-01,380795.65,6.553,700-749,70-80%,30-40%,OH,Purchase,Second Home,Single-Family
LN000817,2023-06-01,238254.37,3.79,750-799,60-70%,>50%,OH,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000818,2022-08-01,371601.73,7.623,800+,70-80%,>50%,CA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000819,2023-02-01,245108.06,2.5,650-699,<60%,>50%,MI,Purchase,Owner-Occupied,Single-Family
LN000820,2024-08-01,110357.76,4.18,750-799,80-90%,30-40%,IL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000821,2024-09-01,299241.71,5.933,750-799,>95%,<30%,FL,Purchase,Owner-Occupied,Single-Family
LN000822,2023-11-01,252969.69,6.766,700-749,70-80%,40-50%,TX,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000823,2023-03-01,137521.86,3.985,700-749,70-80%,<30%,IL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000824,2024-09-01,319149.29,3.713,700-749,80-90%,<30%,IL,Purchase,Owner-Occupied,Single-Family
LN000825,2024-01-01,210647.35,5.223,750-799,70-80%,<30%,TX,Purchase,Second Home,Single-Family
LN000826,2023-05-01,609264.13,7.863,700-749,80-90%,40-50%,PA,Purchase,Investment,Single-Family
LN000827,2024-09-01,153555.78,2.692,700-749,70-80%,<30%,OH,Purchase,Owner-Occupied,Single-Family
LN000828,2022-02-01,178707.51,4.529,600-649,70-80%,40-50%,CA,Purchase,Owner-Occupied,Single-Family
LN000829,2023-02-01,386955.11,5.39,<600,60-70%,<30%,FL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000830,2022-06-01,286697.81,3.806,600-649,70-80%,<30%,NY,Purchase,Owner-Occupied,Multi-Unit
LN000831,2022-06-01,384920.23,3.801,650-699,70-80%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN000832,2022-03-01,338039.11,4.65,700-749,<60%,30-40%,MI,Refinance-Rate-Term,Owner-Occupied,Condo
